iter	Passed	Remaining
0	0	115
1	0	161
2	0	119
3	0	92
4	1	100
5	1	86
6	1	76
7	1	67
8	1	64
9	1	62
10	1	57
11	1	53
12	1	53
13	1	49
14	1	47
15	1	44
16	1	45
17	1	43
18	1	44
19	1	42
20	2	45
21	2	44
22	2	42
23	2	42
24	2	45
25	2	44
26	2	42
27	2	42
28	2	42
29	2	41
30	3	41
31	3	41
32	3	40
33	3	39
34	3	38
35	3	37
36	3	37
37	3	36
38	3	36
39	3	37
40	3	36
41	3	35
42	3	35
43	3	34
44	3	34
45	3	34
46	3	34
47	3	33
48	4	32
49	4	32
50	4	31
51	4	31
52	4	31
53	4	30
54	4	30
55	4	30
56	4	30
57	4	30
58	4	31
59	4	30
60	4	30
61	4	30
62	4	29
63	4	29
64	4	29
65	4	29
66	5	28
67	5	28
68	5	29
69	5	28
70	5	28
71	5	28
72	5	28
73	5	27
74	5	27
75	5	27
76	5	27
77	5	27
78	5	26
79	5	26
80	5	26
81	5	26
82	5	25
83	5	25
84	5	25
85	6	25
86	6	25
87	6	25
88	6	26
89	6	26
90	6	26
91	6	26
92	7	27
93	7	26
94	7	27
95	7	27
96	7	27
97	7	27
98	7	27
99	7	27
100	8	28
101	8	29
102	8	28
103	8	28
104	8	28
105	8	28
106	9	29
107	9	28
108	9	29
109	9	29
110	9	29
111	9	29
112	9	28
113	9	29
114	9	29
115	10	29
116	10	29
117	10	28
118	10	28
119	10	28
120	10	28
121	10	28
122	10	28
123	10	28
124	10	28
125	10	27
126	10	27
127	10	27
128	10	27
129	10	26
130	10	26
131	10	26
132	11	26
133	11	26
134	11	25
135	11	25
136	11	25
137	11	25
138	11	25
139	11	25
140	11	24
141	11	24
142	11	24
143	11	24
144	11	24
145	11	24
146	11	24
147	11	24
148	11	23
149	11	23
150	11	23
151	11	23
152	12	23
153	12	23
154	12	23
155	12	23
156	12	22
157	12	22
158	12	22
159	12	22
160	12	22
161	12	22
162	12	22
163	12	21
164	12	21
165	12	21
166	12	21
167	12	21
168	13	21
169	13	21
170	13	21
171	13	21
172	13	21
173	13	21
174	13	21
175	13	21
176	13	21
177	13	21
178	13	20
179	13	20
180	13	20
181	14	20
182	14	20
183	14	20
184	14	20
185	14	20
186	14	20
187	14	20
188	14	20
189	14	19
190	14	19
191	14	19
192	14	19
193	14	19
194	14	19
195	14	19
196	14	19
197	14	18
198	14	18
199	14	18
200	15	18
201	15	18
202	15	18
203	15	18
204	15	18
205	15	18
206	15	18
207	15	18
208	15	17
209	15	17
210	15	17
211	15	17
212	15	17
213	15	17
214	15	17
215	15	17
216	15	17
217	15	16
218	15	16
219	16	16
220	16	16
221	16	16
222	16	16
223	16	16
224	16	16
225	16	16
226	16	15
227	16	15
228	16	15
229	16	15
230	16	15
231	16	15
232	16	15
233	16	15
234	16	15
235	16	14
236	16	14
237	16	14
238	16	14
239	16	14
240	16	14
241	16	14
242	16	14
243	17	14
244	17	14
245	17	14
246	17	14
247	17	14
248	17	13
249	17	14
250	17	14
251	18	14
252	18	14
253	18	14
254	18	13
255	18	13
256	18	13
257	18	13
258	18	13
259	18	13
260	18	13
261	18	13
262	19	13
263	19	13
264	19	13
265	19	13
266	19	13
267	19	13
268	19	13
269	19	12
270	19	12
271	19	12
272	19	12
273	19	12
274	19	12
275	19	12
276	19	12
277	19	12
278	19	12
279	19	12
280	20	12
281	20	11
282	20	11
283	20	11
284	20	11
285	20	11
286	20	11
287	20	11
288	20	11
289	20	11
290	20	11
291	20	11
292	20	10
293	20	10
294	20	10
295	20	10
296	20	10
297	20	10
298	20	10
299	20	10
300	20	10
301	20	10
302	20	10
303	20	10
304	20	9
305	20	9
306	21	9
307	21	9
308	21	9
309	21	9
310	21	9
311	21	9
312	21	9
313	21	9
314	21	9
315	21	9
316	21	8
317	21	8
318	21	8
319	21	8
320	21	8
321	21	8
322	21	8
323	21	8
324	21	8
325	21	8
326	21	8
327	21	8
328	21	8
329	21	7
330	22	7
331	22	7
332	22	7
333	22	7
334	22	7
335	22	7
336	22	7
337	22	7
338	22	7
339	22	7
340	22	7
341	22	7
342	22	6
343	22	6
344	22	6
345	22	6
346	22	6
347	22	6
348	22	6
349	22	6
350	22	6
351	22	6
352	22	6
353	22	6
354	22	6
355	22	6
356	22	5
357	22	5
358	22	5
359	22	5
360	22	5
361	22	5
362	22	5
363	23	5
364	23	5
365	23	5
366	23	5
367	23	5
368	23	5
369	23	5
370	23	4
371	23	4
372	23	4
373	23	4
374	23	4
375	23	4
376	23	4
377	23	4
378	23	4
379	23	4
380	23	4
381	23	4
382	23	4
383	23	4
384	23	4
385	23	3
386	23	3
387	23	3
388	23	3
389	23	3
390	23	3
391	23	3
392	23	3
393	23	3
394	23	3
395	23	3
396	23	3
397	23	3
398	23	3
399	24	3
400	24	2
401	24	2
402	24	2
403	24	2
404	24	2
405	24	2
406	24	2
407	24	2
408	24	2
409	24	2
410	24	2
411	24	2
412	24	2
413	24	2
414	24	2
415	24	2
416	24	1
417	24	1
418	24	1
419	24	1
420	24	1
421	24	1
422	24	1
423	24	1
424	25	1
425	25	1
426	25	1
427	25	1
428	25	1
429	25	1
430	25	1
431	25	1
432	25	0
433	25	0
434	25	0
435	25	0
436	25	0
437	25	0
438	25	0
439	25	0
440	25	0
441	25	0
442	25	0
443	25	0
444	25	0
445	25	0
446	25	0
447	25	0
448	25	0
449	25	0
